
EMPTY, TOPLEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, LEFTBRICK, BOTTOMLEFTBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
EMPTY, TOPGENERICBRICK, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, EMPTY, BOTTOMGENERICBRICK,
